1|Tampa|FL|1|1598762613|1598762613
2|Bellevue|WA|1|1598762613|1598762613
3|Washington|DC|1|1598762613|1598762613
4|Omaha|NE|1|1598762613|1598762613
5|Los Angeles|CA|1|1598762613|1598762613
6|Riverside|IA|1|1598762613|1598762613
7|Polis Massa|00|1|1598762613|1598762613
8|Orlando|FL|1|1598762613|1598762613
9|Atlanta|GA|1|1598762613|1598762613
10|Gainesville|FL|1|1598762613|1598762613
11|Princeton|NJ|1|1598762613|1598762613
12|Taos|NM|1|1598762613|1598762613
13|Phoenix|AZ|1|1598762613|1598762613
14|New York|NY|1|1598762613|1598762613
15|Camarillo|CA|1|1598762613|1598762613
16|Venice|CA|1|1598762613|1598762613
17|Seattle|WA|1|1598762613|1598762613
